"fue","MUE"
"fue 1","MUE 5"
"fue 6","MUE 29"
"fue 7","MUE 16"
"fue 12","MUE 18"
"fue 13","MUE 19"
"fue 14","MUE 24"
"fue 15","MUE 30"
"fue 16","MUE 33"
"fue 17","MUE 32"
"fue 19","MUE 27"
"fue 25","MUE 10"
"fue 26","MUE 9"
"fue 27","MUE 8"
"fue 33","MUE 22"
"fue 34","MUE 3"
"fue 36","MUE 15"
"fue 40","MUE 12"
"fue 45","MUE 21"
"fue 46","MUE 2"
"fue 49","MUE 1"
"fue 51","MUE 4"
"fue 53","MUE 11"
"fue 54","MUE 6"
"fue 63","MUE 25"
"fue 66","MUE 28"
"fue 67","MUE 13"
"fue 68","MUE 31"
"fue 69","MUE 20"
"fue 71","MUE 17"
"fue 73","MUE 7"
"fue 75","MUE 26"
"fue 79","MUE 23"
"fue 83","MUE 34"
"fue 84","MUE 36"
"fue 87","MUE 35"
"fue 88","MUE 14"
