"fue","MUE"
"fue 4","MUE 23"
"fue 6","MUE 17"
"fue 8","MUE 20"
"fue 10","MUE 13"
"fue 13","MUE 30"
"fue 16","MUE 26"
"fue 17","MUE 2"
"fue 20","MUE 11"
"fue 23","MUE 16"
"fue 24","MUE 12"
"fue 26","MUE 15"
"fue 31","MUE 14"
"fue 32","MUE 6"
"fue 34","MUE 22"
"fue 35","MUE 10"
"fue 36","MUE 32"
"fue 37","MUE 8"
"fue 39","MUE 27"
"fue 43","MUE 18"
"fue 45","MUE 5"
"fue 49","MUE 24"
"fue 50","MUE 1"
"fue 51","MUE 36"
"fue 52","MUE 33"
"fue 55","MUE 29"
"fue 56","MUE 34"
"fue 57","MUE 7"
"fue 58","MUE 4"
"fue 59","MUE 9"
"fue 60","MUE 3"
"fue 70","MUE 28"
"fue 73","MUE 25"
"fue 76","MUE 35"
"fue 78","MUE 21"
"fue 81","MUE 31"
"fue 82","MUE 19"
