"fue","MUE"
"fue 2","MUE 14"
"fue 4","MUE 12"
"fue 6","MUE 1"
"fue 8","MUE 15"
"fue 11","MUE 23"
"fue 13","MUE 28"
"fue 15","MUE 35"
"fue 16","MUE 16"
"fue 17","MUE 4"
"fue 21","MUE 2"
"fue 24","MUE 10"
"fue 25","MUE 11"
"fue 27","MUE 27"
"fue 28","MUE 6"
"fue 29","MUE 30"
"fue 36","MUE 19"
"fue 39","MUE 22"
"fue 40","MUE 29"
"fue 43","MUE 18"
"fue 49","MUE 31"
"fue 51","MUE 13"
"fue 52","MUE 8"
"fue 55","MUE 7"
"fue 59","MUE 24"
"fue 60","MUE 3"
"fue 61","MUE 5"
"fue 64","MUE 34"
"fue 67","MUE 9"
"fue 69","MUE 33"
"fue 70","MUE 20"
"fue 71","MUE 21"
"fue 73","MUE 36"
"fue 77","MUE 26"
"fue 81","MUE 32"
"fue 82","MUE 25"
"fue 84","MUE 17"
