"fue","MUE"
"fue 3","MUE 4"
"fue 6","MUE 23"
"fue 9","MUE 13"
"fue 10","MUE 36"
"fue 12","MUE 10"
"fue 16","MUE 26"
"fue 18","MUE 31"
"fue 19","MUE 35"
"fue 24","MUE 24"
"fue 27","MUE 21"
"fue 28","MUE 15"
"fue 30","MUE 7"
"fue 36","MUE 2"
"fue 37","MUE 17"
"fue 38","MUE 25"
"fue 41","MUE 8"
"fue 42","MUE 32"
"fue 43","MUE 30"
"fue 45","MUE 18"
"fue 48","MUE 12"
"fue 53","MUE 28"
"fue 54","MUE 11"
"fue 55","MUE 34"
"fue 57","MUE 5"
"fue 58","MUE 22"
"fue 59","MUE 33"
"fue 61","MUE 6"
"fue 62","MUE 14"
"fue 64","MUE 16"
"fue 65","MUE 29"
"fue 66","MUE 19"
"fue 76","MUE 20"
"fue 77","MUE 9"
"fue 78","MUE 1"
"fue 80","MUE 27"
"fue 84","MUE 3"
