"fue","MUE"
"fue 1","MUE 9"
"fue 2","MUE 25"
"fue 7","MUE 1"
"fue 10","MUE 26"
"fue 11","MUE 22"
"fue 12","MUE 7"
"fue 13","MUE 34"
"fue 18","MUE 27"
"fue 25","MUE 15"
"fue 28","MUE 31"
"fue 29","MUE 17"
"fue 33","MUE 5"
"fue 34","MUE 4"
"fue 35","MUE 14"
"fue 37","MUE 21"
"fue 38","MUE 18"
"fue 41","MUE 23"
"fue 45","MUE 13"
"fue 46","MUE 16"
"fue 50","MUE 33"
"fue 51","MUE 32"
"fue 54","MUE 28"
"fue 56","MUE 3"
"fue 57","MUE 36"
"fue 60","MUE 11"
"fue 61","MUE 2"
"fue 64","MUE 24"
"fue 69","MUE 20"
"fue 74","MUE 19"
"fue 77","MUE 29"
"fue 78","MUE 12"
"fue 79","MUE 35"
"fue 80","MUE 10"
"fue 82","MUE 8"
"fue 83","MUE 6"
"fue 84","MUE 30"
