"fue","MUE"
"fue 2","MUE 3"
"fue 5","MUE 13"
"fue 7","MUE 6"
"fue 10","MUE 9"
"fue 12","MUE 21"
"fue 13","MUE 17"
"fue 15","MUE 19"
"fue 20","MUE 4"
"fue 21","MUE 16"
"fue 24","MUE 12"
"fue 25","MUE 10"
"fue 27","MUE 18"
"fue 28","MUE 15"
"fue 29","MUE 5"
"fue 30","MUE 7"
"fue 33","MUE 2"
"fue 36","MUE 14"
"fue 37","MUE 31"
"fue 43","MUE 8"
"fue 45","MUE 23"
"fue 46","MUE 34"
"fue 47","MUE 32"
"fue 49","MUE 22"
"fue 53","MUE 28"
"fue 55","MUE 30"
"fue 57","MUE 24"
"fue 58","MUE 11"
"fue 62","MUE 36"
"fue 65","MUE 27"
"fue 67","MUE 33"
"fue 68","MUE 35"
"fue 70","MUE 29"
"fue 71","MUE 25"
"fue 76","MUE 26"
"fue 77","MUE 1"
"fue 78","MUE 20"
