"fue","MUE"
"fue 2","MUE 27"
"fue 3","MUE 5"
"fue 4","MUE 18"
"fue 5","MUE 26"
"fue 6","MUE 8"
"fue 7","MUE 35"
"fue 9","MUE 6"
"fue 12","MUE 10"
"fue 13","MUE 19"
"fue 15","MUE 2"
"fue 16","MUE 11"
"fue 17","MUE 33"
"fue 22","MUE 28"
"fue 23","MUE 4"
"fue 27","MUE 22"
"fue 29","MUE 9"
"fue 30","MUE 24"
"fue 37","MUE 29"
"fue 45","MUE 15"
"fue 47","MUE 36"
"fue 48","MUE 23"
"fue 49","MUE 21"
"fue 51","MUE 20"
"fue 52","MUE 3"
"fue 56","MUE 30"
"fue 58","MUE 1"
"fue 59","MUE 14"
"fue 62","MUE 31"
"fue 64","MUE 16"
"fue 66","MUE 7"
"fue 69","MUE 32"
"fue 78","MUE 13"
"fue 81","MUE 17"
"fue 86","MUE 12"
"fue 88","MUE 25"
"fue 89","MUE 34"
