"fue","MUE"
"fue 1","MUE 24"
"fue 2","MUE 2"
"fue 3","MUE 3"
"fue 4","MUE 10"
"fue 5","MUE 25"
"fue 6","MUE 13"
"fue 9","MUE 12"
"fue 10","MUE 19"
"fue 11","MUE 11"
"fue 12","MUE 35"
"fue 14","MUE 31"
"fue 15","MUE 5"
"fue 18","MUE 9"
"fue 21","MUE 15"
"fue 24","MUE 18"
"fue 26","MUE 16"
"fue 27","MUE 30"
"fue 28","MUE 27"
"fue 34","MUE 21"
"fue 35","MUE 4"
"fue 37","MUE 33"
"fue 38","MUE 1"
"fue 39","MUE 36"
"fue 40","MUE 7"
"fue 41","MUE 29"
"fue 42","MUE 6"
"fue 43","MUE 32"
"fue 45","MUE 22"
"fue 46","MUE 14"
"fue 47","MUE 26"
"fue 49","MUE 20"
"fue 50","MUE 8"
"fue 51","MUE 34"
"fue 52","MUE 23"
"fue 53","MUE 28"
"fue 54","MUE 17"
