"fue","MUE"
"fue 3","MUE 28"
"fue 6","MUE 8"
"fue 7","MUE 24"
"fue 9","MUE 22"
"fue 11","MUE 6"
"fue 13","MUE 29"
"fue 14","MUE 1"
"fue 15","MUE 7"
"fue 16","MUE 15"
"fue 17","MUE 30"
"fue 23","MUE 11"
"fue 24","MUE 31"
"fue 27","MUE 14"
"fue 29","MUE 36"
"fue 31","MUE 17"
"fue 33","MUE 35"
"fue 35","MUE 33"
"fue 37","MUE 32"
"fue 39","MUE 34"
"fue 40","MUE 9"
"fue 41","MUE 19"
"fue 45","MUE 12"
"fue 46","MUE 25"
"fue 47","MUE 23"
"fue 48","MUE 26"
"fue 49","MUE 20"
"fue 50","MUE 13"
"fue 51","MUE 5"
"fue 52","MUE 3"
"fue 54","MUE 21"
"fue 55","MUE 2"
"fue 56","MUE 18"
"fue 58","MUE 16"
"fue 62","MUE 27"
"fue 64","MUE 4"
"fue 66","MUE 10"
