"fue","MUE"
"fue 3","MUE 10"
"fue 7","MUE 7"
"fue 10","MUE 3"
"fue 12","MUE 31"
"fue 15","MUE 19"
"fue 17","MUE 27"
"fue 18","MUE 15"
"fue 19","MUE 33"
"fue 20","MUE 20"
"fue 23","MUE 29"
"fue 26","MUE 9"
"fue 27","MUE 6"
"fue 28","MUE 23"
"fue 29","MUE 8"
"fue 32","MUE 30"
"fue 33","MUE 22"
"fue 35","MUE 5"
"fue 37","MUE 35"
"fue 39","MUE 12"
"fue 42","MUE 13"
"fue 44","MUE 14"
"fue 45","MUE 1"
"fue 48","MUE 28"
"fue 50","MUE 25"
"fue 51","MUE 32"
"fue 52","MUE 21"
"fue 53","MUE 36"
"fue 54","MUE 2"
"fue 56","MUE 24"
"fue 59","MUE 26"
"fue 60","MUE 17"
"fue 62","MUE 16"
"fue 65","MUE 34"
"fue 66","MUE 4"
"fue 70","MUE 18"
"fue 71","MUE 11"
