"fue","MUE"
"fue 4","MUE 28"
"fue 5","MUE 20"
"fue 6","MUE 30"
"fue 7","MUE 24"
"fue 9","MUE 11"
"fue 16","MUE 17"
"fue 18","MUE 8"
"fue 19","MUE 16"
"fue 23","MUE 27"
"fue 25","MUE 21"
"fue 26","MUE 13"
"fue 28","MUE 9"
"fue 29","MUE 22"
"fue 32","MUE 36"
"fue 35","MUE 3"
"fue 36","MUE 23"
"fue 37","MUE 7"
"fue 42","MUE 14"
"fue 44","MUE 35"
"fue 45","MUE 12"
"fue 46","MUE 6"
"fue 49","MUE 2"
"fue 52","MUE 29"
"fue 53","MUE 10"
"fue 54","MUE 32"
"fue 59","MUE 15"
"fue 60","MUE 25"
"fue 62","MUE 26"
"fue 67","MUE 1"
"fue 69","MUE 19"
"fue 70","MUE 5"
"fue 71","MUE 33"
"fue 72","MUE 31"
"fue 73","MUE 18"
"fue 74","MUE 4"
"fue 76","MUE 34"
