"fue","MUE"
"fue 1","MUE 9"
"fue 3","MUE 5"
"fue 6","MUE 32"
"fue 8","MUE 26"
"fue 9","MUE 36"
"fue 14","MUE 24"
"fue 15","MUE 17"
"fue 18","MUE 8"
"fue 22","MUE 18"
"fue 23","MUE 27"
"fue 25","MUE 25"
"fue 26","MUE 1"
"fue 30","MUE 34"
"fue 32","MUE 30"
"fue 34","MUE 33"
"fue 35","MUE 28"
"fue 38","MUE 7"
"fue 41","MUE 31"
"fue 44","MUE 6"
"fue 49","MUE 12"
"fue 50","MUE 15"
"fue 52","MUE 29"
"fue 55","MUE 16"
"fue 57","MUE 21"
"fue 58","MUE 14"
"fue 62","MUE 10"
"fue 63","MUE 22"
"fue 64","MUE 3"
"fue 67","MUE 4"
"fue 68","MUE 35"
"fue 70","MUE 20"
"fue 72","MUE 23"
"fue 74","MUE 19"
"fue 76","MUE 11"
"fue 77","MUE 2"
"fue 78","MUE 13"
