"fue","MUE"
"fue 3","MUE 8"
"fue 5","MUE 9"
"fue 6","MUE 1"
"fue 8","MUE 34"
"fue 9","MUE 25"
"fue 11","MUE 13"
"fue 14","MUE 2"
"fue 17","MUE 20"
"fue 19","MUE 10"
"fue 20","MUE 16"
"fue 22","MUE 33"
"fue 24","MUE 15"
"fue 26","MUE 31"
"fue 27","MUE 28"
"fue 28","MUE 30"
"fue 29","MUE 35"
"fue 31","MUE 21"
"fue 32","MUE 26"
"fue 37","MUE 18"
"fue 39","MUE 19"
"fue 40","MUE 5"
"fue 41","MUE 7"
"fue 43","MUE 12"
"fue 45","MUE 3"
"fue 46","MUE 29"
"fue 47","MUE 6"
"fue 49","MUE 4"
"fue 52","MUE 24"
"fue 53","MUE 14"
"fue 54","MUE 22"
"fue 55","MUE 23"
"fue 57","MUE 17"
"fue 62","MUE 11"
"fue 64","MUE 32"
"fue 66","MUE 36"
"fue 68","MUE 27"
