"fue","MUE"
"fue 5","MUE 31"
"fue 6","MUE 36"
"fue 8","MUE 35"
"fue 10","MUE 1"
"fue 13","MUE 10"
"fue 14","MUE 34"
"fue 15","MUE 12"
"fue 18","MUE 16"
"fue 22","MUE 21"
"fue 24","MUE 30"
"fue 25","MUE 2"
"fue 27","MUE 23"
"fue 28","MUE 27"
"fue 33","MUE 6"
"fue 35","MUE 7"
"fue 36","MUE 20"
"fue 44","MUE 17"
"fue 46","MUE 26"
"fue 47","MUE 25"
"fue 51","MUE 33"
"fue 52","MUE 5"
"fue 55","MUE 22"
"fue 56","MUE 14"
"fue 60","MUE 19"
"fue 61","MUE 9"
"fue 63","MUE 18"
"fue 64","MUE 15"
"fue 65","MUE 3"
"fue 66","MUE 29"
"fue 68","MUE 13"
"fue 69","MUE 24"
"fue 70","MUE 32"
"fue 72","MUE 11"
"fue 76","MUE 8"
"fue 77","MUE 28"
"fue 78","MUE 4"
