"fue","MUE"
"fue 1","MUE 18"
"fue 2","MUE 20"
"fue 9","MUE 36"
"fue 10","MUE 32"
"fue 12","MUE 17"
"fue 16","MUE 13"
"fue 17","MUE 22"
"fue 20","MUE 12"
"fue 21","MUE 2"
"fue 24","MUE 24"
"fue 28","MUE 33"
"fue 30","MUE 30"
"fue 31","MUE 35"
"fue 34","MUE 1"
"fue 36","MUE 25"
"fue 37","MUE 6"
"fue 38","MUE 31"
"fue 42","MUE 15"
"fue 43","MUE 21"
"fue 44","MUE 7"
"fue 48","MUE 34"
"fue 50","MUE 11"
"fue 51","MUE 9"
"fue 52","MUE 27"
"fue 54","MUE 23"
"fue 55","MUE 26"
"fue 58","MUE 8"
"fue 59","MUE 5"
"fue 62","MUE 19"
"fue 63","MUE 16"
"fue 67","MUE 29"
"fue 69","MUE 14"
"fue 71","MUE 3"
"fue 75","MUE 28"
"fue 76","MUE 4"
"fue 78","MUE 10"
