"fue","MUE"
"fue 1","MUE 8"
"fue 4","MUE 28"
"fue 5","MUE 17"
"fue 6","MUE 2"
"fue 10","MUE 12"
"fue 12","MUE 20"
"fue 13","MUE 31"
"fue 18","MUE 23"
"fue 19","MUE 24"
"fue 20","MUE 5"
"fue 21","MUE 33"
"fue 22","MUE 26"
"fue 23","MUE 18"
"fue 26","MUE 14"
"fue 27","MUE 36"
"fue 28","MUE 34"
"fue 30","MUE 11"
"fue 31","MUE 21"
"fue 34","MUE 9"
"fue 35","MUE 30"
"fue 36","MUE 10"
"fue 37","MUE 29"
"fue 39","MUE 19"
"fue 41","MUE 16"
"fue 42","MUE 7"
"fue 44","MUE 4"
"fue 47","MUE 25"
"fue 49","MUE 6"
"fue 51","MUE 35"
"fue 54","MUE 1"
"fue 55","MUE 13"
"fue 60","MUE 27"
"fue 64","MUE 15"
"fue 65","MUE 3"
"fue 69","MUE 32"
"fue 72","MUE 22"
