"fue","MUE"
"fue 2","MUE 16"
"fue 4","MUE 3"
"fue 5","MUE 12"
"fue 6","MUE 26"
"fue 7","MUE 31"
"fue 11","MUE 34"
"fue 12","MUE 22"
"fue 13","MUE 36"
"fue 15","MUE 35"
"fue 25","MUE 7"
"fue 26","MUE 17"
"fue 27","MUE 27"
"fue 28","MUE 29"
"fue 29","MUE 32"
"fue 31","MUE 4"
"fue 32","MUE 10"
"fue 35","MUE 20"
"fue 38","MUE 14"
"fue 39","MUE 1"
"fue 40","MUE 24"
"fue 42","MUE 13"
"fue 43","MUE 9"
"fue 44","MUE 28"
"fue 48","MUE 6"
"fue 51","MUE 21"
"fue 53","MUE 25"
"fue 54","MUE 11"
"fue 56","MUE 8"
"fue 57","MUE 2"
"fue 58","MUE 23"
"fue 59","MUE 19"
"fue 60","MUE 30"
"fue 61","MUE 15"
"fue 63","MUE 33"
"fue 64","MUE 18"
"fue 65","MUE 5"
