"fue","MUE"
"fue 1","MUE 33"
"fue 5","MUE 4"
"fue 6","MUE 15"
"fue 7","MUE 31"
"fue 10","MUE 21"
"fue 11","MUE 18"
"fue 12","MUE 11"
"fue 13","MUE 5"
"fue 15","MUE 25"
"fue 17","MUE 1"
"fue 20","MUE 29"
"fue 21","MUE 3"
"fue 23","MUE 22"
"fue 24","MUE 12"
"fue 25","MUE 9"
"fue 29","MUE 20"
"fue 36","MUE 7"
"fue 38","MUE 27"
"fue 40","MUE 13"
"fue 49","MUE 23"
"fue 51","MUE 30"
"fue 53","MUE 10"
"fue 55","MUE 36"
"fue 56","MUE 28"
"fue 58","MUE 2"
"fue 59","MUE 34"
"fue 62","MUE 17"
"fue 63","MUE 26"
"fue 66","MUE 14"
"fue 67","MUE 24"
"fue 68","MUE 6"
"fue 69","MUE 16"
"fue 70","MUE 32"
"fue 73","MUE 8"
"fue 76","MUE 19"
"fue 78","MUE 35"
