"fue","MUE"
"fue 5","MUE 5"
"fue 6","MUE 23"
"fue 7","MUE 24"
"fue 8","MUE 22"
"fue 9","MUE 14"
"fue 10","MUE 16"
"fue 13","MUE 9"
"fue 15","MUE 26"
"fue 16","MUE 3"
"fue 17","MUE 28"
"fue 18","MUE 25"
"fue 19","MUE 4"
"fue 21","MUE 36"
"fue 22","MUE 7"
"fue 23","MUE 6"
"fue 25","MUE 35"
"fue 27","MUE 31"
"fue 28","MUE 20"
"fue 29","MUE 34"
"fue 33","MUE 30"
"fue 34","MUE 32"
"fue 35","MUE 29"
"fue 37","MUE 17"
"fue 40","MUE 11"
"fue 42","MUE 33"
"fue 47","MUE 19"
"fue 48","MUE 15"
"fue 49","MUE 1"
"fue 50","MUE 18"
"fue 51","MUE 21"
"fue 52","MUE 27"
"fue 55","MUE 13"
"fue 57","MUE 2"
"fue 58","MUE 12"
"fue 59","MUE 10"
"fue 62","MUE 8"
