"fue","MUE"
"fue 1","MUE 24"
"fue 6","MUE 3"
"fue 8","MUE 34"
"fue 10","MUE 31"
"fue 11","MUE 30"
"fue 14","MUE 10"
"fue 15","MUE 35"
"fue 16","MUE 6"
"fue 17","MUE 19"
"fue 18","MUE 15"
"fue 19","MUE 21"
"fue 20","MUE 8"
"fue 21","MUE 33"
"fue 25","MUE 28"
"fue 27","MUE 20"
"fue 29","MUE 4"
"fue 31","MUE 12"
"fue 32","MUE 25"
"fue 33","MUE 9"
"fue 35","MUE 26"
"fue 39","MUE 7"
"fue 40","MUE 1"
"fue 41","MUE 23"
"fue 44","MUE 22"
"fue 47","MUE 14"
"fue 49","MUE 29"
"fue 51","MUE 13"
"fue 53","MUE 17"
"fue 54","MUE 18"
"fue 59","MUE 2"
"fue 60","MUE 36"
"fue 63","MUE 16"
"fue 64","MUE 5"
"fue 65","MUE 27"
"fue 67","MUE 11"
"fue 69","MUE 32"
